"Site Name ","WLR113",,,
"Site Number ",103,,,
"Logger ","Capacitive Water Level",,,
"Logger Serial Number ",41697,,,
,,,,
,,,,
"Scan No ","Date and Time","       Capacitive Water Level","        ",
"        ","        ","RAW VALUE ","CALIBRATED VALUE",
,,,,
204,24/01/2016,03:50:00,"NA",29.28
205,24/01/2016,03:55:00,"NA",29.22
206,24/01/2016,04:00:00,"NA",29.22
207,24/01/2016,04:05:00,"NA",29.22
208,24/01/2016,04:10:00,"NA",29.16
209,24/01/2016,04:15:00,"NA",29.16
210,24/01/2016,04:20:00,"NA",29.16
211,24/01/2016,04:25:00,"NA",29.1
212,24/01/2016,04:30:00,"NA",29.1
213,24/01/2016,04:35:00,"NA",29.04
214,24/01/2016,04:40:00,"NA",29.04
215,24/01/2016,04:45:00,"NA",29.04
216,24/01/2016,04:50:00,"NA",29.04
217,24/01/2016,04:55:00,"NA",29.04
218,24/01/2016,05:00:00,"NA",29.04
219,24/01/2016,05:05:00,"NA",28.98
220,24/01/2016,05:10:00,"NA",28.98
221,24/01/2016,05:15:00,"NA",28.98
222,24/01/2016,05:20:00,"NA",28.98
223,24/01/2016,05:25:00,"NA",28.98
224,24/01/2016,05:30:00,"NA",28.98
225,24/01/2016,05:35:00,"NA",28.98
226,24/01/2016,05:40:00,"NA",28.92
227,24/01/2016,05:45:00,"NA",28.92
228,24/01/2016,05:50:00,"NA",28.86
229,24/01/2016,05:55:00,"NA",28.86
230,24/01/2016,06:00:00,"NA",28.8
231,24/01/2016,06:05:00,"NA",28.8
232,24/01/2016,06:10:00,"NA",28.74
233,24/01/2016,06:15:00,"NA",28.74
234,24/01/2016,06:20:00,"NA",28.68
235,24/01/2016,06:25:00,"NA",28.68
236,24/01/2016,06:30:00,"NA",28.62
237,24/01/2016,06:35:00,"NA",28.62
238,24/01/2016,06:40:00,"NA",28.56
239,24/01/2016,06:45:00,"NA",28.56
240,24/01/2016,06:50:00,"NA",28.56
241,24/01/2016,06:55:00,"NA",28.5
242,24/01/2016,07:00:00,"NA",28.5
243,24/01/2016,07:05:00,"NA",28.5
244,24/01/2016,07:10:00,"NA",28.44
245,24/01/2016,07:15:00,"NA",28.44
246,24/01/2016,07:20:00,"NA",28.44
247,24/01/2016,07:25:00,"NA",28.44
248,24/01/2016,07:30:00,"NA",28.38
249,24/01/2016,07:35:00,"NA",28.38
250,24/01/2016,07:40:00,"NA",28.38
251,24/01/2016,07:45:00,"NA",28.38
252,24/01/2016,07:50:00,"NA",28.38
253,24/01/2016,07:55:00,"NA",28.38
254,24/01/2016,08:00:00,"NA",28.08
255,24/01/2016,08:05:00,"NA",27.96
256,24/01/2016,08:10:00,"NA",27.96
257,24/01/2016,08:15:00,"NA",27.96
258,24/01/2016,08:20:00,"NA",27.96
259,24/01/2016,08:25:00,"NA",27.96
260,24/01/2016,08:30:00,"NA",27.96
261,24/01/2016,08:35:00,"NA",27.96
262,24/01/2016,08:40:00,"NA",27.96
263,24/01/2016,08:45:00,"NA",27.96
264,24/01/2016,08:50:00,"NA",27.96
265,24/01/2016,08:55:00,"NA",27.96
266,24/01/2016,09:00:00,"NA",27.9
267,24/01/2016,09:05:00,"NA",27.9
268,24/01/2016,09:10:00,"NA",27.84
269,24/01/2016,09:15:00,"NA",27.84
270,24/01/2016,09:20:00,"NA",27.84
271,24/01/2016,09:25:00,"NA",27.84
272,24/01/2016,09:30:00,"NA",27.84
273,24/01/2016,09:35:00,"NA",27.84
274,24/01/2016,09:40:00,"NA",27.78
275,24/01/2016,09:45:00,"NA",27.78
276,24/01/2016,09:50:00,"NA",27.72
277,24/01/2016,09:55:00,"NA",27.72
278,24/01/2016,10:00:00,"NA",27.66
279,24/01/2016,10:05:00,"NA",27.66
280,24/01/2016,10:10:00,"NA",27.6
281,24/01/2016,10:15:00,"NA",27.6
282,24/01/2016,10:20:00,"NA",27.6
283,24/01/2016,10:25:00,"NA",27.54
284,24/01/2016,10:30:00,"NA",27.54
285,24/01/2016,10:35:00,"NA",27.49
286,24/01/2016,10:40:00,"NA",27.49
287,24/01/2016,10:45:00,"NA",27.49
