Site Name ,WLR113,,,
Site Number ,103,,,
Logger ,Capacitive Water Level,,,
Logger Serial Number ,41697,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
292,11/01/2016,14:35:00,1530,28.32
293,11/01/2016,14:40:00,1528,28.2
294,11/01/2016,14:45:00,1528,28.2
295,11/01/2016,14:50:00,1529,28.26
296,11/01/2016,14:55:00,1528,28.2
297,11/01/2016,15:00:00,1529,28.26
298,11/01/2016,15:05:00,1529,28.26
299,11/01/2016,15:10:00,1528,28.2
300,11/01/2016,15:15:00,1527,28.14
301,11/01/2016,15:20:00,1527,28.14
302,11/01/2016,15:25:00,1527,28.14
303,11/01/2016,15:30:00,1527,28.14
304,11/01/2016,15:35:00,1528,28.2
305,11/01/2016,15:40:00,1528,28.2
306,11/01/2016,15:45:00,1528,28.2
307,11/01/2016,15:50:00,1528,28.2
308,11/01/2016,15:55:00,1528,28.2
309,11/01/2016,16:00:00,1528,28.2
310,11/01/2016,16:05:00,1529,28.26
311,11/01/2016,16:10:00,1529,28.26
312,11/01/2016,16:15:00,1529,28.26
313,11/01/2016,16:20:00,1529,28.26
314,11/01/2016,16:25:00,1529,28.26
315,11/01/2016,16:30:00,1529,28.26
316,11/01/2016,16:35:00,1529,28.26
317,11/01/2016,16:40:00,1529,28.26
318,11/01/2016,16:45:00,1530,28.32
319,11/01/2016,16:50:00,1530,28.32
320,11/01/2016,16:55:00,1529,28.26
321,11/01/2016,17:00:00,1529,28.26
322,11/01/2016,17:05:00,1529,28.26
323,11/01/2016,17:10:00,1529,28.26
324,11/01/2016,17:15:00,1528,28.2
325,11/01/2016,17:20:00,1528,28.2
326,11/01/2016,17:25:00,1529,28.26
327,11/01/2016,17:30:00,1529,28.26
328,11/01/2016,17:35:00,1529,28.26
329,11/01/2016,17:40:00,1529,28.26
330,11/01/2016,17:45:00,1529,28.26
331,11/01/2016,17:50:00,1530,28.32
332,11/01/2016,17:55:00,1530,28.32
333,11/01/2016,18:00:00,1530,28.32
334,11/01/2016,18:05:00,1530,28.32
335,11/01/2016,18:10:00,1531,28.38
336,11/01/2016,18:15:00,1531,28.38
337,11/01/2016,18:20:00,1531,28.38
338,11/01/2016,18:25:00,1532,28.44
339,11/01/2016,18:30:00,1531,28.38
340,11/01/2016,18:35:00,1531,28.38
341,11/01/2016,18:40:00,1531,28.38
342,11/01/2016,18:45:00,1531,28.38
343,11/01/2016,18:50:00,1531,28.38
344,11/01/2016,18:55:00,1531,28.38
345,11/01/2016,19:00:00,1531,28.38
346,11/01/2016,19:05:00,1531,28.38
347,11/01/2016,19:10:00,1531,28.38
348,11/01/2016,19:15:00,1531,28.38
349,11/01/2016,19:20:00,1531,28.38
350,11/01/2016,19:25:00,1530,28.32
351,11/01/2016,19:30:00,1530,28.32
352,11/01/2016,19:35:00,1530,28.32
353,11/01/2016,19:40:00,1530,28.32
354,11/01/2016,19:45:00,1530,28.32
355,11/01/2016,19:50:00,1530,28.32
356,11/01/2016,19:55:00,1530,28.32
357,11/01/2016,20:00:00,1530,28.32
358,11/01/2016,20:05:00,1530,28.32
359,11/01/2016,20:10:00,1530,28.32
360,11/01/2016,20:15:00,1530,28.32
361,11/01/2016,20:20:00,1530,28.32
362,11/01/2016,20:25:00,1530,28.32
363,11/01/2016,20:30:00,1530,28.32
364,11/01/2016,20:35:00,1530,28.32
365,11/01/2016,20:40:00,1530,28.32
366,11/01/2016,20:45:00,1529,28.26
367,11/01/2016,20:50:00,1529,28.26
368,11/01/2016,20:55:00,1529,28.26
369,11/01/2016,21:00:00,1529,28.26
370,11/01/2016,21:05:00,1530,28.32
371,11/01/2016,21:10:00,1529,28.26
372,11/01/2016,21:15:00,1529,28.26
373,11/01/2016,21:20:00,1529,28.26
374,11/01/2016,21:25:00,1529,28.26
375,11/01/2016,21:30:00,1529,28.26
376,11/01/2016,21:35:00,1529,28.26
377,11/01/2016,21:40:00,1529,28.26
378,11/01/2016,21:45:00,1529,28.26
379,11/01/2016,21:50:00,1529,28.26
380,11/01/2016,21:55:00,1529,28.26
381,11/01/2016,22:00:00,1529,28.26
382,11/01/2016,22:05:00,1529,28.26
383,11/01/2016,22:10:00,1529,28.26
384,11/01/2016,22:15:00,1529,28.26
385,11/01/2016,22:20:00,1529,28.26
386,11/01/2016,22:25:00,1529,28.26
387,11/01/2016,22:30:00,1529,28.26
388,11/01/2016,22:35:00,1529,28.26
389,11/01/2016,22:40:00,1529,28.26
390,11/01/2016,22:45:00,1529,28.26
391,11/01/2016,22:50:00,1529,28.26
392,11/01/2016,22:55:00,1529,28.26
393,11/01/2016,23:00:00,1529,28.26
394,11/01/2016,23:05:00,1529,28.26
395,11/01/2016,23:10:00,1529,28.26
396,11/01/2016,23:15:00,1529,28.26
397,11/01/2016,23:20:00,1529,28.26
398,11/01/2016,23:25:00,1529,28.26
399,11/01/2016,23:30:00,1529,28.26
400,11/01/2016,23:35:00,1529,28.26
401,11/01/2016,23:40:00,1529,28.26
402,11/01/2016,23:45:00,1529,28.26
403,11/01/2016,23:50:00,1529,28.26
404,11/01/2016,23:55:00,1529,28.26
405,11/01/2016,24:00:00,1529,28.26
406,12/01/2016,00:05:00,1529,28.26
407,12/01/2016,00:10:00,1529,28.26
408,12/01/2016,00:15:00,1529,28.26
409,12/01/2016,00:20:00,1529,28.26
410,12/01/2016,00:25:00,1528,28.2
411,12/01/2016,00:30:00,1529,28.26
412,12/01/2016,00:35:00,1529,28.26
413,12/01/2016,00:40:00,1529,28.26
414,12/01/2016,00:45:00,1528,28.2
415,12/01/2016,00:50:00,1529,28.26
416,12/01/2016,00:55:00,1529,28.26
417,12/01/2016,01:00:00,1529,28.26
418,12/01/2016,01:05:00,1529,28.26
419,12/01/2016,01:10:00,1529,28.26
420,12/01/2016,01:15:00,1529,28.26
421,12/01/2016,01:20:00,1529,28.26
422,12/01/2016,01:25:00,1529,28.26
423,12/01/2016,01:30:00,1529,28.26
424,12/01/2016,01:35:00,1529,28.26
425,12/01/2016,01:40:00,1529,28.26
426,12/01/2016,01:45:00,1529,28.26
427,12/01/2016,01:50:00,1529,28.26
428,12/01/2016,01:55:00,1530,28.32
429,12/01/2016,02:00:00,1530,28.32
430,12/01/2016,02:05:00,1530,28.32
431,12/01/2016,02:10:00,1531,28.38
432,12/01/2016,02:15:00,1531,28.38
433,12/01/2016,02:20:00,1531,28.38
434,12/01/2016,02:25:00,1531,28.38
435,12/01/2016,02:30:00,1531,28.38
436,12/01/2016,02:35:00,1531,28.38
437,12/01/2016,02:40:00,1531,28.38
438,12/01/2016,02:45:00,1531,28.38
439,12/01/2016,02:50:00,1531,28.38
440,12/01/2016,02:55:00,1531,28.38
441,12/01/2016,03:00:00,1531,28.38
442,12/01/2016,03:05:00,1532,28.44
443,12/01/2016,03:10:00,1532,28.44
444,12/01/2016,03:15:00,1531,28.38
445,12/01/2016,03:20:00,1531,28.38
446,12/01/2016,03:25:00,1531,28.38
447,12/01/2016,03:30:00,1531,28.38
448,12/01/2016,03:35:00,1532,28.44
449,12/01/2016,03:40:00,1531,28.38
450,12/01/2016,03:45:00,1531,28.38
451,12/01/2016,03:50:00,1532,28.44
452,12/01/2016,03:55:00,1532,28.44
453,12/01/2016,04:00:00,1532,28.44
454,12/01/2016,04:05:00,1531,28.38
455,12/01/2016,04:10:00,1531,28.38
456,12/01/2016,04:15:00,1532,28.44
457,12/01/2016,04:20:00,1531,28.38
458,12/01/2016,04:25:00,1532,28.44
459,12/01/2016,04:30:00,1532,28.44
460,12/01/2016,04:35:00,1531,28.38
461,12/01/2016,04:40:00,1531,28.38
462,12/01/2016,04:45:00,1531,28.38
463,12/01/2016,04:50:00,1531,28.38
464,12/01/2016,04:55:00,1532,28.44
465,12/01/2016,05:00:00,1531,28.38
466,12/01/2016,05:05:00,1532,28.44
467,12/01/2016,05:10:00,1532,28.44
468,12/01/2016,05:15:00,1531,28.38
469,12/01/2016,05:20:00,1532,28.44
470,12/01/2016,05:25:00,1531,28.38
471,12/01/2016,05:30:00,1531,28.38
472,12/01/2016,05:35:00,1531,28.38
473,12/01/2016,05:40:00,1531,28.38
474,12/01/2016,05:45:00,1531,28.38
475,12/01/2016,05:50:00,1532,28.44
476,12/01/2016,05:55:00,1532,28.44
477,12/01/2016,06:00:00,1532,28.44
478,12/01/2016,06:05:00,1531,28.38
479,12/01/2016,06:10:00,1532,28.44
480,12/01/2016,06:15:00,1532,28.44
481,12/01/2016,06:20:00,1532,28.44
482,12/01/2016,06:25:00,1532,28.44
483,12/01/2016,06:30:00,1532,28.44
484,12/01/2016,06:35:00,1532,28.44
485,12/01/2016,06:40:00,1532,28.44
486,12/01/2016,06:45:00,1532,28.44
487,12/01/2016,06:50:00,1532,28.44
488,12/01/2016,06:55:00,1532,28.44
489,12/01/2016,07:00:00,1532,28.44
490,12/01/2016,07:05:00,1532,28.44
491,12/01/2016,07:10:00,1532,28.44
492,12/01/2016,07:15:00,1532,28.44
493,12/01/2016,07:20:00,1532,28.44
494,12/01/2016,07:25:00,1532,28.44
495,12/01/2016,07:30:00,1532,28.44
496,12/01/2016,07:35:00,1532,28.44
497,12/01/2016,07:40:00,1532,28.44
498,12/01/2016,07:45:00,1532,28.44
499,12/01/2016,07:50:00,1534,28.56
500,12/01/2016,07:55:00,1533,28.5
501,12/01/2016,08:00:00,1531,28.38
502,12/01/2016,08:05:00,1530,28.32
503,12/01/2016,08:10:00,1530,28.32
504,12/01/2016,08:15:00,1530,28.32
505,12/01/2016,08:20:00,1530,28.32
506,12/01/2016,08:25:00,1530,28.32
507,12/01/2016,08:30:00,1530,28.32
508,12/01/2016,08:35:00,1530,28.32
509,12/01/2016,08:40:00,1531,28.38
510,12/01/2016,08:45:00,1531,28.38
511,12/01/2016,08:50:00,1532,28.44
512,12/01/2016,08:55:00,1532,28.44
513,12/01/2016,09:00:00,1532,28.44
514,12/01/2016,09:05:00,1533,28.5
515,12/01/2016,09:10:00,1533,28.5
516,12/01/2016,09:15:00,1533,28.5
517,12/01/2016,09:20:00,1533,28.5
518,12/01/2016,09:25:00,1532,28.44
519,12/01/2016,09:30:00,1532,28.44
520,12/01/2016,09:35:00,1531,28.38
521,12/01/2016,09:40:00,1531,28.38
522,12/01/2016,09:45:00,1531,28.38
523,12/01/2016,09:50:00,1531,28.38
524,12/01/2016,09:55:00,1531,28.38
525,12/01/2016,10:00:00,1530,28.32
526,12/01/2016,10:05:00,1530,28.32
527,12/01/2016,10:10:00,1530,28.32
528,12/01/2016,10:15:00,1530,28.32
529,12/01/2016,10:20:00,1530,28.32
530,12/01/2016,10:25:00,1529,28.26
531,12/01/2016,10:30:00,1529,28.26
532,12/01/2016,10:35:00,1529,28.26
533,12/01/2016,10:40:00,1529,28.26
534,12/01/2016,10:45:00,1529,28.26
535,12/01/2016,10:50:00,1529,28.26
536,12/01/2016,10:55:00,1529,28.26
537,12/01/2016,11:00:00,1529,28.26
538,12/01/2016,11:05:00,1529,28.26
539,12/01/2016,11:10:00,1529,28.26
540,12/01/2016,11:15:00,1529,28.26
541,12/01/2016,11:20:00,1529,28.26
542,12/01/2016,11:25:00,1529,28.26
543,12/01/2016,11:30:00,1529,28.26
544,12/01/2016,11:35:00,1529,28.26
545,12/01/2016,11:40:00,1529,28.26
546,12/01/2016,11:45:00,1529,28.26
547,12/01/2016,11:50:00,1529,28.26
548,12/01/2016,11:55:00,1529,28.26
549,12/01/2016,12:00:00,1529,28.26
550,12/01/2016,12:05:00,1529,28.26
551,12/01/2016,12:10:00,1529,28.26
552,12/01/2016,12:15:00,1529,28.26
