Site Name ,WLR110,,,
Site Number ,110,,,
Logger ,Capacitive Water Level,,,
Logger Serial Number ,40023,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
459,14/01/2014,06:40:16,867,0.13
460,14/01/2014,06:55:16,867,0.13
461,14/01/2014,07:10:16,867,0.13
462,14/01/2014,07:25:16,867,0.13
463,14/01/2014,07:40:16,867,0.13
464,14/01/2014,07:55:16,868,0.13
465,14/01/2014,08:10:16,868,0.13
466,14/01/2014,08:25:16,869,0.13
467,14/01/2014,08:40:16,869,0.13
468,14/01/2014,08:55:16,869,0.13
469,14/01/2014,09:10:16,869,0.13
470,14/01/2014,09:25:16,868,0.13
471,14/01/2014,09:40:16,868,0.13
472,14/01/2014,09:55:16,867,0.13
473,14/01/2014,10:10:16,866,0.13
474,14/01/2014,10:25:16,866,0.13
475,14/01/2014,10:40:16,865,0.13
476,14/01/2014,10:55:16,865,0.13
477,14/01/2014,11:10:16,865,0.13
478,14/01/2014,11:25:16,864,0.13
479,14/01/2014,11:40:16,864,0.13
480,14/01/2014,11:55:16,864,0.13
481,14/01/2014,12:10:16,863,0.13
482,14/01/2014,12:25:16,863,0.13
483,14/01/2014,12:40:16,863,0.13
484,14/01/2014,12:55:16,862,0.13
485,14/01/2014,13:10:16,862,0.13
486,14/01/2014,13:25:16,861,0.13
487,14/01/2014,13:40:16,861,0.13
488,14/01/2014,13:55:16,861,0.13
489,14/01/2014,14:10:16,861,0.13
490,14/01/2014,14:25:16,860,0.13
491,14/01/2014,14:40:16,860,0.13
492,14/01/2014,14:55:16,860,0.13
493,14/01/2014,15:10:16,860,0.13
494,14/01/2014,15:25:16,859,0.13
495,14/01/2014,15:40:16,859,0.13
496,14/01/2014,15:55:16,859,0.13
497,14/01/2014,16:10:16,860,0.13
498,14/01/2014,16:25:16,860,0.13
499,14/01/2014,16:40:16,859,0.13
500,14/01/2014,16:55:16,859,0.13
501,14/01/2014,17:10:16,859,0.13
502,14/01/2014,17:25:16,859,0.13
503,14/01/2014,17:40:16,859,0.13
504,14/01/2014,17:55:16,859,0.13
505,14/01/2014,18:10:16,859,0.13
506,14/01/2014,18:25:16,859,0.13
507,14/01/2014,18:40:16,859,0.13
508,14/01/2014,18:55:16,859,0.13
509,14/01/2014,19:10:16,859,0.13
510,14/01/2014,19:25:16,859,0.13
511,14/01/2014,19:40:16,859,0.13
512,14/01/2014,19:55:16,859,0.13
513,14/01/2014,20:10:16,860,0.13
514,14/01/2014,20:25:16,860,0.13
515,14/01/2014,20:40:16,860,0.13
516,14/01/2014,20:55:16,861,0.13
517,14/01/2014,21:10:16,861,0.13
518,14/01/2014,21:25:16,861,0.13
519,14/01/2014,21:40:16,862,0.13
520,14/01/2014,21:55:16,862,0.13
521,14/01/2014,22:10:16,862,0.13
522,14/01/2014,22:25:16,862,0.13
523,14/01/2014,22:40:16,862,0.13
524,14/01/2014,22:55:16,862,0.13
525,14/01/2014,23:10:16,862,0.13
526,14/01/2014,23:25:16,862,0.13
527,14/01/2014,23:40:16,863,0.13
528,14/01/2014,23:55:16,863,0.13
529,15/01/2014,00:10:16,863,0.13
530,15/01/2014,00:25:16,863,0.13
531,15/01/2014,00:40:16,864,0.13
532,15/01/2014,00:55:16,864,0.13
533,15/01/2014,01:10:16,864,0.13
534,15/01/2014,01:25:16,864,0.13
535,15/01/2014,01:40:16,864,0.13
536,15/01/2014,01:55:16,865,0.13
537,15/01/2014,02:10:16,865,0.13
538,15/01/2014,02:25:16,865,0.13
539,15/01/2014,02:40:16,865,0.13
540,15/01/2014,02:55:16,865,0.13
541,15/01/2014,03:10:16,865,0.13
542,15/01/2014,03:25:16,865,0.13
543,15/01/2014,03:40:16,865,0.13
544,15/01/2014,03:55:16,865,0.13
545,15/01/2014,04:10:16,865,0.13
546,15/01/2014,04:25:16,865,0.13
547,15/01/2014,04:40:16,866,0.13
548,15/01/2014,04:55:16,865,0.13
549,15/01/2014,05:10:16,866,0.13
550,15/01/2014,05:25:16,866,0.13
551,15/01/2014,05:40:16,866,0.13
552,15/01/2014,05:55:16,866,0.13
553,15/01/2014,06:10:16,866,0.13
554,15/01/2014,06:25:16,866,0.13
555,15/01/2014,06:40:16,866,0.13
556,15/01/2014,06:55:16,866,0.13
557,15/01/2014,07:10:16,866,0.13
558,15/01/2014,07:25:16,866,0.13
559,15/01/2014,07:40:16,867,0.13
560,15/01/2014,07:55:16,868,0.13
561,15/01/2014,08:10:16,868,0.13
562,15/01/2014,08:25:16,869,0.13
563,15/01/2014,08:40:16,869,0.13
564,15/01/2014,08:55:16,869,0.13
565,15/01/2014,09:10:16,868,0.13
566,15/01/2014,09:25:16,868,0.13
567,15/01/2014,09:40:16,867,0.13
568,15/01/2014,09:55:16,867,0.13
569,15/01/2014,10:10:16,866,0.13
570,15/01/2014,10:25:16,866,0.13
571,15/01/2014,10:40:16,865,0.13
572,15/01/2014,10:55:16,864,0.13
573,15/01/2014,11:10:16,863,0.13
574,15/01/2014,11:25:16,862,0.13
575,15/01/2014,11:40:16,862,0.13
576,15/01/2014,11:55:16,861,0.13
577,15/01/2014,12:10:16,861,0.13
578,15/01/2014,12:25:16,861,0.13
579,15/01/2014,12:40:16,861,0.13
580,15/01/2014,12:55:16,861,0.13
581,15/01/2014,13:10:16,861,0.13
582,15/01/2014,13:25:16,861,0.13
583,15/01/2014,13:40:16,860,0.13
584,15/01/2014,13:55:16,860,0.13
585,15/01/2014,14:10:16,860,0.13
586,15/01/2014,14:25:16,860,0.13
587,15/01/2014,14:40:16,860,0.13
588,15/01/2014,14:55:16,860,0.13
589,15/01/2014,15:10:16,860,0.13
590,15/01/2014,15:25:16,860,0.13
591,15/01/2014,15:40:16,860,0.13
592,15/01/2014,15:55:16,860,0.13
593,15/01/2014,16:10:16,861,0.13
594,15/01/2014,16:25:16,861,0.13
595,15/01/2014,16:40:16,861,0.13
596,15/01/2014,16:55:16,861,0.13
597,15/01/2014,17:10:16,862,0.13
598,15/01/2014,17:25:16,862,0.13
599,15/01/2014,17:40:16,862,0.13
600,15/01/2014,17:55:16,862,0.13
601,15/01/2014,18:10:16,862,0.13
602,15/01/2014,18:25:16,862,0.13
603,15/01/2014,18:40:16,862,0.13
604,15/01/2014,18:55:16,861,0.13
605,15/01/2014,19:10:16,861,0.13
606,15/01/2014,19:25:16,860,0.13
607,15/01/2014,19:40:16,861,0.13
608,15/01/2014,19:55:16,860,0.13
609,15/01/2014,20:10:16,861,0.13
610,15/01/2014,20:25:16,861,0.13
611,15/01/2014,20:40:16,861,0.13
612,15/01/2014,20:55:16,862,0.13
613,15/01/2014,21:10:16,862,0.13
614,15/01/2014,21:25:16,863,0.13
615,15/01/2014,21:40:16,863,0.13
616,15/01/2014,21:55:16,863,0.13
617,15/01/2014,22:10:16,862,0.13
618,15/01/2014,22:25:16,862,0.13
619,15/01/2014,22:40:16,863,0.13
620,15/01/2014,22:55:16,864,0.13
621,15/01/2014,23:10:16,864,0.13
622,15/01/2014,23:25:16,864,0.13
623,15/01/2014,23:40:16,865,0.13
624,15/01/2014,23:55:16,865,0.13
625,16/01/2014,00:10:16,865,0.13
626,16/01/2014,00:25:16,865,0.13
627,16/01/2014,00:40:16,865,0.13
628,16/01/2014,00:55:16,865,0.13
629,16/01/2014,01:10:16,865,0.13
630,16/01/2014,01:25:16,864,0.13
631,16/01/2014,01:40:16,864,0.13
632,16/01/2014,01:55:16,864,0.13
633,16/01/2014,02:10:16,864,0.13
634,16/01/2014,02:25:16,864,0.13
635,16/01/2014,02:40:16,864,0.13
636,16/01/2014,02:55:16,865,0.13
637,16/01/2014,03:10:16,865,0.13
638,16/01/2014,03:25:16,865,0.13
639,16/01/2014,03:40:16,865,0.13
640,16/01/2014,03:55:16,865,0.13
641,16/01/2014,04:10:16,865,0.13
642,16/01/2014,04:25:16,865,0.13
