Site Name ,WLR109,,,,
Site Number ,109,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,44354,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
358,21/01/2017 , 17:05:00,2250,15.68
359,21/01/2017 , 17:10:00,2261,16.62
360,21/01/2017 , 17:15:00,2262,16.71
361,21/01/2017 , 17:20:00,2271,17.48
362,21/01/2017 , 17:25:00,2250,15.68
363,21/01/2017 , 17:30:00,2250,15.68
364,21/01/2017 , 17:35:00,2250,15.68
365,21/01/2017 , 17:40:00,2258,16.37
366,21/01/2017 , 17:45:00,2250,15.68
367,21/01/2017 , 17:50:00,2251,15.77
368,21/01/2017 , 17:55:00,2254,16.02
369,21/01/2017 , 18:00:00,2251,15.77
370,21/01/2017 , 18:05:00,2259,16.45
371,21/01/2017 , 18:10:00,2259,16.45
372,21/01/2017 , 18:15:00,2260,16.54
373,21/01/2017 , 18:20:00,2262,16.71
374,21/01/2017 , 18:25:00,2261,16.62
375,21/01/2017 , 18:30:00,2260,16.54
376,21/01/2017 , 18:35:00,2252,15.85
377,21/01/2017 , 18:40:00,2256,16.2
378,21/01/2017 , 18:45:00,2252,15.85
379,21/01/2017 , 18:50:00,2256,16.2
380,21/01/2017 , 18:55:00,2256,16.2
381,21/01/2017 , 19:00:00,2255,16.11
382,21/01/2017 , 19:05:00,2257,16.28
383,21/01/2017 , 19:10:00,2254,16.02
384,21/01/2017 , 19:15:00,2254,16.02
385,21/01/2017 , 19:20:00,2254,16.02
386,21/01/2017 , 19:25:00,2254,16.02
387,21/01/2017 , 19:30:00,2253,15.94
388,21/01/2017 , 19:35:00,2253,15.94
389,21/01/2017 , 19:40:00,2255,16.11
390,21/01/2017 , 19:45:00,2254,16.02
391,21/01/2017 , 19:50:00,2255,16.11
392,21/01/2017 , 19:55:00,2254,16.02
393,21/01/2017 , 20:00:00,2254,16.02
394,21/01/2017 , 20:05:00,2255,16.11
395,21/01/2017 , 20:10:00,2255,16.11
396,21/01/2017 , 20:15:00,2254,16.02
397,21/01/2017 , 20:20:00,2254,16.02
398,21/01/2017 , 20:25:00,2256,16.2
399,21/01/2017 , 20:30:00,2257,16.28
400,21/01/2017 , 20:35:00,2254,16.02
401,21/01/2017 , 20:40:00,2253,15.94
402,21/01/2017 , 20:45:00,2256,16.2
403,21/01/2017 , 20:50:00,2252,15.85
404,21/01/2017 , 20:55:00,2254,16.02
405,21/01/2017 , 21:00:00,2278,18.08
406,21/01/2017 , 21:05:00,2269,17.31
407,21/01/2017 , 21:10:00,2253,15.94
408,21/01/2017 , 21:15:00,2254,16.02
409,21/01/2017 , 21:20:00,2253,15.94
410,21/01/2017 , 21:25:00,2253,15.94
411,21/01/2017 , 21:30:00,2253,15.94
412,21/01/2017 , 21:35:00,2257,16.28
413,21/01/2017 , 21:40:00,2253,15.94
414,21/01/2017 , 21:45:00,2253,15.94
415,21/01/2017 , 21:50:00,2254,16.02
416,21/01/2017 , 21:55:00,2254,16.02
417,21/01/2017 , 22:00:00,2255,16.11
418,21/01/2017 , 22:05:00,2254,16.02
419,21/01/2017 , 22:10:00,2254,16.02
420,21/01/2017 , 22:15:00,2256,16.2
421,21/01/2017 , 22:20:00,2255,16.11
422,21/01/2017 , 22:25:00,2254,16.02
423,21/01/2017 , 22:30:00,2254,16.02
424,21/01/2017 , 22:35:00,2253,15.94
425,21/01/2017 , 22:40:00,2254,16.02
426,21/01/2017 , 22:45:00,2254,16.02
427,21/01/2017 , 22:50:00,2255,16.11
428,21/01/2017 , 22:55:00,2254,16.02
429,21/01/2017 , 23:00:00,2255,16.11
430,21/01/2017 , 23:05:00,2255,16.11
431,21/01/2017 , 23:10:00,2254,16.02
432,21/01/2017 , 23:15:00,2255,16.11
433,21/01/2017 , 23:20:00,2254,16.02
434,21/01/2017 , 23:25:00,2255,16.11
435,21/01/2017 , 23:30:00,2255,16.11
436,21/01/2017 , 23:35:00,2256,16.2
437,21/01/2017 , 23:40:00,2254,16.02
438,21/01/2017 , 23:45:00,2255,16.11
439,21/01/2017 , 23:50:00,2255,16.11
440,21/01/2017 , 23:55:00,2255,16.11
441,21/01/2017 , 24:00:00,2254,16.02
442,22/01/2017 , 00:05:00,2255,16.11
443,22/01/2017 , 00:10:00,2254,16.02
444,22/01/2017 , 00:15:00,2254,16.02
445,22/01/2017 , 00:20:00,2254,16.02
446,22/01/2017 , 00:25:00,2254,16.02
447,22/01/2017 , 00:30:00,2255,16.11
448,22/01/2017 , 00:35:00,2255,16.11
449,22/01/2017 , 00:40:00,2256,16.2
450,22/01/2017 , 00:45:00,2260,16.54
451,22/01/2017 , 00:50:00,2256,16.2
452,22/01/2017 , 00:55:00,2256,16.2
453,22/01/2017 , 01:00:00,2254,16.02
454,22/01/2017 , 01:05:00,2253,15.94
455,22/01/2017 , 01:10:00,2252,15.85
456,22/01/2017 , 01:15:00,2253,15.94
457,22/01/2017 , 01:20:00,2253,15.94
458,22/01/2017 , 01:25:00,2254,16.02
459,22/01/2017 , 01:30:00,2253,15.94
460,22/01/2017 , 01:35:00,2254,16.02
461,22/01/2017 , 01:40:00,2255,16.11
462,22/01/2017 , 01:45:00,2255,16.11
463,22/01/2017 , 01:50:00,2254,16.02
464,22/01/2017 , 01:55:00,2256,16.2
465,22/01/2017 , 02:00:00,2254,16.02
466,22/01/2017 , 02:05:00,2255,16.11
467,22/01/2017 , 02:10:00,2255,16.11
468,22/01/2017 , 02:15:00,2256,16.2
469,22/01/2017 , 02:20:00,2257,16.28
470,22/01/2017 , 02:25:00,2255,16.11
471,22/01/2017 , 02:30:00,2256,16.2
472,22/01/2017 , 02:35:00,2255,16.11
473,22/01/2017 , 02:40:00,2256,16.2
474,22/01/2017 , 02:45:00,2256,16.2
475,22/01/2017 , 02:50:00,2256,16.2
476,22/01/2017 , 02:55:00,2256,16.2
477,22/01/2017 , 03:00:00,2256,16.2
478,22/01/2017 , 03:05:00,2257,16.28
479,22/01/2017 , 03:10:00,2256,16.2
480,22/01/2017 , 03:15:00,2259,16.45
481,22/01/2017 , 03:20:00,2258,16.37
482,22/01/2017 , 03:25:00,2257,16.28
483,22/01/2017 , 03:30:00,2258,16.37
484,22/01/2017 , 03:35:00,2258,16.37
485,22/01/2017 , 03:40:00,2257,16.28
486,22/01/2017 , 03:45:00,2273,17.65
487,22/01/2017 , 03:50:00,2266,17.05
488,22/01/2017 , 03:55:00,2268,17.22
489,22/01/2017 , 04:00:00,2272,17.57
490,22/01/2017 , 04:05:00,2261,16.62
491,22/01/2017 , 04:10:00,2261,16.62
492,22/01/2017 , 04:15:00,2261,16.62
493,22/01/2017 , 04:20:00,2261,16.62
494,22/01/2017 , 04:25:00,2262,16.71
495,22/01/2017 , 04:30:00,2261,16.62
496,22/01/2017 , 04:35:00,2261,16.62
497,22/01/2017 , 04:40:00,2262,16.71
498,22/01/2017 , 04:45:00,2261,16.62
499,22/01/2017 , 04:50:00,2262,16.71
500,22/01/2017 , 04:55:00,2262,16.71
501,22/01/2017 , 05:00:00,2263,16.8
502,22/01/2017 , 05:05:00,2262,16.71
503,22/01/2017 , 05:10:00,2273,17.65
504,22/01/2017 , 05:15:00,2273,17.65
505,22/01/2017 , 05:20:00,2263,16.8
506,22/01/2017 , 05:25:00,2263,16.8
507,22/01/2017 , 05:30:00,2262,16.71
508,22/01/2017 , 05:35:00,2263,16.8
509,22/01/2017 , 05:40:00,2265,16.97
510,22/01/2017 , 05:45:00,2267,17.14
511,22/01/2017 , 05:50:00,2267,17.14
512,22/01/2017 , 05:55:00,2265,16.97
513,22/01/2017 , 06:00:00,2265,16.97
514,22/01/2017 , 06:05:00,2265,16.97
515,22/01/2017 , 06:10:00,2265,16.97
516,22/01/2017 , 06:15:00,2266,17.05
517,22/01/2017 , 06:20:00,2264,16.88
518,22/01/2017 , 06:25:00,2263,16.8
519,22/01/2017 , 06:30:00,2264,16.88
520,22/01/2017 , 06:35:00,2264,16.88
521,22/01/2017 , 06:40:00,2263,16.8
522,22/01/2017 , 06:45:00,2263,16.8
523,22/01/2017 , 06:50:00,2262,16.71
524,22/01/2017 , 06:55:00,2264,16.88
525,22/01/2017 , 07:00:00,2266,17.05
526,22/01/2017 , 07:05:00,2275,17.82
527,22/01/2017 , 07:10:00,2275,17.82
528,22/01/2017 , 07:15:00,2283,18.51
529,22/01/2017 , 07:20:00,2282,18.42
530,22/01/2017 , 07:25:00,2281,18.34
531,22/01/2017 , 07:30:00,2282,18.42
