Site Name ,WLR103A,,,,
Site Number ,103,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,1745,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
354,20/01/2017 , 20:20:00,2055,7.86
355,20/01/2017 , 20:25:00,2055,7.86
356,20/01/2017 , 20:30:00,2055,7.86
357,20/01/2017 , 20:35:00,2054,7.81
358,20/01/2017 , 20:40:00,2055,7.86
359,20/01/2017 , 20:45:00,2056,7.91
360,20/01/2017 , 20:50:00,2057,7.95
361,20/01/2017 , 20:55:00,2057,7.95
362,20/01/2017 , 21:00:00,2058,8
363,20/01/2017 , 21:05:00,2057,7.95
364,20/01/2017 , 21:10:00,2058,8
365,20/01/2017 , 21:15:00,2058,8
366,20/01/2017 , 21:20:00,2059,8.05
367,20/01/2017 , 21:25:00,2063,8.24
368,20/01/2017 , 21:30:00,2065,8.34
369,20/01/2017 , 21:35:00,2066,8.38
370,20/01/2017 , 21:40:00,2067,8.43
371,20/01/2017 , 21:45:00,2069,8.53
372,20/01/2017 , 21:50:00,2076,8.86
373,20/01/2017 , 21:55:00,2082,9.15
374,20/01/2017 , 22:00:00,2085,9.29
375,20/01/2017 , 22:05:00,2086,9.34
376,20/01/2017 , 22:10:00,2087,9.38
377,20/01/2017 , 22:15:00,2089,9.48
378,20/01/2017 , 22:20:00,2093,9.67
379,20/01/2017 , 22:25:00,2098,9.91
380,20/01/2017 , 22:30:00,2099,9.95
381,20/01/2017 , 22:35:00,2100,10
382,20/01/2017 , 22:40:00,2101,10.05
383,20/01/2017 , 22:45:00,2102,10.1
384,20/01/2017 , 22:50:00,2102,10.1
385,20/01/2017 , 22:55:00,2102,10.1
386,20/01/2017 , 23:00:00,2103,10.15
387,20/01/2017 , 23:05:00,2103,10.15
388,20/01/2017 , 23:10:00,2104,10.19
389,20/01/2017 , 23:15:00,2104,10.19
390,20/01/2017 , 23:20:00,2104,10.19
391,20/01/2017 , 23:25:00,2105,10.24
392,20/01/2017 , 23:30:00,2104,10.19
393,20/01/2017 , 23:35:00,2105,10.24
394,20/01/2017 , 23:40:00,2105,10.24
395,20/01/2017 , 23:45:00,2105,10.24
396,20/01/2017 , 23:50:00,2105,10.24
397,20/01/2017 , 23:55:00,2105,10.24
398,20/01/2017 , 24:00:00,2105,10.24
399,21/01/2017 , 00:05:00,2106,10.29
400,21/01/2017 , 00:10:00,2106,10.29
401,21/01/2017 , 00:15:00,2106,10.29
402,21/01/2017 , 00:20:00,2106,10.29
403,21/01/2017 , 00:25:00,2106,10.29
404,21/01/2017 , 00:30:00,2106,10.29
405,21/01/2017 , 00:35:00,2107,10.34
406,21/01/2017 , 00:40:00,2107,10.34
407,21/01/2017 , 00:45:00,2107,10.34
408,21/01/2017 , 00:50:00,2107,10.34
409,21/01/2017 , 00:55:00,2107,10.34
410,21/01/2017 , 01:00:00,2107,10.34
411,21/01/2017 , 01:05:00,2107,10.34
412,21/01/2017 , 01:10:00,2107,10.34
413,21/01/2017 , 01:15:00,2107,10.34
414,21/01/2017 , 01:20:00,2107,10.34
415,21/01/2017 , 01:25:00,2107,10.34
416,21/01/2017 , 01:30:00,2107,10.34
417,21/01/2017 , 01:35:00,2106,10.29
418,21/01/2017 , 01:40:00,2106,10.29
419,21/01/2017 , 01:45:00,2106,10.29
420,21/01/2017 , 01:50:00,2106,10.29
421,21/01/2017 , 01:55:00,2106,10.29
422,21/01/2017 , 02:00:00,2106,10.29
423,21/01/2017 , 02:05:00,2106,10.29
424,21/01/2017 , 02:10:00,2106,10.29
425,21/01/2017 , 02:15:00,2106,10.29
426,21/01/2017 , 02:20:00,2106,10.29
427,21/01/2017 , 02:25:00,2105,10.24
428,21/01/2017 , 02:30:00,2105,10.24
429,21/01/2017 , 02:35:00,2105,10.24
430,21/01/2017 , 02:40:00,2105,10.24
431,21/01/2017 , 02:45:00,2105,10.24
432,21/01/2017 , 02:50:00,2105,10.24
433,21/01/2017 , 02:55:00,2105,10.24
434,21/01/2017 , 03:00:00,2105,10.24
435,21/01/2017 , 03:05:00,2105,10.24
436,21/01/2017 , 03:10:00,2105,10.24
437,21/01/2017 , 03:15:00,2105,10.24
438,21/01/2017 , 03:20:00,2105,10.24
439,21/01/2017 , 03:25:00,2105,10.24
440,21/01/2017 , 03:30:00,2105,10.24
441,21/01/2017 , 03:35:00,2105,10.24
442,21/01/2017 , 03:40:00,2104,10.19
443,21/01/2017 , 03:45:00,2104,10.19
444,21/01/2017 , 03:50:00,2105,10.24
445,21/01/2017 , 03:55:00,2105,10.24
446,21/01/2017 , 04:00:00,2105,10.24
447,21/01/2017 , 04:05:00,2105,10.24
448,21/01/2017 , 04:10:00,2105,10.24
449,21/01/2017 , 04:15:00,2105,10.24
450,21/01/2017 , 04:20:00,2105,10.24
